date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:14:35	263380/263380	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v6.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v6.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:36	260794/260794	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v7.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v7.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:36	263989/263989	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v8.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/shop/product-details-v8.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:36	256699/256699	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-simple.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/shop/product-simple.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:37	267879/267879	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-variable.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/shop/product-variable.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:37	261374/261374	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-time-limit.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/shop/product-time-limit.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:38	261980/261980	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/product-grouped.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/shop/product-grouped.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:38	203492/203492	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/shopping-cart.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/shop/shopping-cart.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:39	200630/200630	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/compare.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/shop/compare.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
22:14:40	196919/196919	---MCZ	200	added ('OK')	text/html	date:Fri,%2007%20Jun%202024%2002:33:14%20GMT	https://templates.g5plus.net/glowing-bootstrap-5/shop/wishlist.html	D:/glowness/templates.g5plus.net/glowing-bootstrap-5/shop/wishlist.html	(from https://templates.g5plus.net/glowing-bootstrap-5/home-01.html)
